epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,33.8731,1.12763,3.13526,0.98004,0.01269,0.36078,0.14885,0.06374,1.01016,3.95655,0.99791,0.00020006,0.00020006,0.00020006
2,67.4844,1.02424,1.70498,0.97695,0.02267,0.90476,0.4605,0.2702,1.16958,3.21135,0.95844,0.000373383,0.000373383,0.000373383
3,100.629,0.89948,1.35949,0.95902,0.02259,0.62745,0.50969,0.30943,0.69666,3.1181,0.86294,0.000504266,0.000504266,0.000504266
4,134.382,0.98531,1.179,0.99743,0.03585,0.98039,0.86876,0.7282,0.61792,2.86393,0.84931,0.000592706,0.000592706,0.000592706
5,167.368,0.84677,1.11723,0.95092,0.94493,0.6641,0.94354,0.80334,0.63346,2.41156,0.87683,0.000638706,0.000638706,0.000638706
6,199.837,0.84695,1.02012,0.95221,0.69478,0.38864,0.90372,0.77201,0.66134,2.4362,0.87935,0.000642264,0.000642264,0.000642264
7,234.23,0.76142,0.92493,0.95248,0.98606,0.85883,0.97595,0.8298,0.56484,1.22549,0.84681,0.000580174,0.000580174,0.000580174
8,278.626,0.84387,0.87028,0.95652,0.97404,0.93093,0.97,0.84982,0.5539,1.11368,0.84448,0.000438703,0.000438703,0.000438703
9,312.896,0.77712,0.81891,0.93801,0.95032,0.95526,0.995,0.897,0.45144,0.93372,0.82825,0.000297232,0.000297232,0.000297232
10,345.046,0.69858,0.74527,0.92018,0.95238,0.96011,0.995,0.89083,0.41768,0.7501,0.82547,0.000155761,0.000155761,0.000155761
